#,Name,Mnemonic,IP,State
1,National Support Center,PDS,,CA
2,Murfreesboro 3,D0002,10.51.211.11,TN
3,Olney 1,D0003,10.55.25.11,MD
4,West St. Paul 1,D0004,10.55.33.11,MN
6,Irvine,IRV,192.168.220.11,CA
11,Irvine 2,IRV2,10.51.185.11,CA
12,Norco,NRC,10.50.145.11,CA
13,Chico,D0013,10.53.89.11,CA
14,Roseville 4,D0014,10.55.60.11,CA
15,Rancho Cucamonga 2,RC2,10.50.133.11,CA
16,Vista 2,VS2,10.50.168.11,CA
17,Riverside 1,RV1,10.50.132.11,CA
18,Newbury Park,NBP1,10.51.171.11,CA
19,Yorba Linda,YBL,10.50.112.11,CA
20,San Bernardino 2,SB2,10.50.120.11,CA
21,Lake Forest,LAK,192.168.85.11,CA
22,Victorville,VIC,192.168.88.11,CA
23,Yucaipa,YUC,192.168.90.11,CA
24,Camarillo,CAM,192.168.89.11,CA
25,Murrieta,MUR,192.168.95.11,CA
26,Rancho SM,RS3,192.168.237.11,CA
27,La Canada Flintridge,LCD1,10.51.181.11,CA
28,Hemet,HEM,10.50.119.11,CA
30,Santa Clarita,SCA,10.50.104.11,CA
31,Bakersfield,BAK,10.50.103.11,CA
32,Huntington Beach 2,HB2,10.50.105.11,CA
33,San Marcos,SAM,10.50.106.11,CA
34,Eastvale,EAS,10.50.109.11,CA
35,Bakersfield 2,BA2,10.50.111.11,CA
36,Oceanside 3,OC3,10.50.113.11,CA
37,Burbank,BUR,10.50.116.11,CA
38,Riverside 5,RV5,10.50.137.11,CA
39,Simi Valley 2,SIM2,10.50.245.11,CA
40,Wildomar 2,WI2,10.50.121.11,CA
41,Murrieta 3,MU3,10.50.123.11,CA
42,Castaic,CAS,10.50.117.11,CA
43,Fontana,FON,10.50.114.11,CA
44,Tierrasanta,TIS,10.50.115.11,CA
45,Simi Valley 3,SI3,10.50.125.11,CA
46,Murrieta 4,MU4,10.50.126.11,CA
47,Valencia 3,VA3,10.50.152.11,CA
48,Moreno Valley,MOV,10.50.144.11,CA
49,Corona 3,CO3,10.50.128.11,CA
50,Upland,UPL,192.168.159.11,CA
51,Palm Desert,PMD,192.168.235.11,CA
52,Riverside 3,RV3,10.52.18.11,CA
53,Laguna Beach,LAG,192.168.231.11,CA
54,Temecula 1,TEM,192.168.233.11,CA
55,Tustin,TUS,192.168.234.11,CA
56,Anaheim Hills,ANH,192.168.236.11,CA
57,Visalia 3,D0057,10.55.15.11,CA
58,Laguna Niguel,LNN,192.168.238.11,CA
59,Chino Hills 1,CH2,10.50.102.11,CA
60,San Diego 11,D0060,10.55.23.11,CA
61,Hesperia 2,HS2,192.168.241.11,CA
62,Rancho Cucamonga,CUC,192.168.242.11,CA
63,Henderson 10,D0063,10.55.38.11,NV
64,La Quinta,LAQ,192.168.244.11,CA
66,San Bernardino,SBE,192.168.245.11,CA
67,Pacific Beach,D0067,10.52.76.11,CA
68,Murrieta 2,MU2,192.168.99.11,CA
69,Wildomar,WIL,192.168.98.11,CA
70,San Clemente,SCL,10.50.1.11,CA
71,Huntington Beach,HB1,192.168.104.11,CA
72,Oceanside,OCN,192.168.247.11,CA
73,Corona 2,CO2,192.168.103.11,CA
74,Redlands,RED,192.168.105.11,CA
75,Rialto,RIA,192.168.106.11,CA
76,Temecula 2,TM2,10.50.82.11,CA
77,Cathedral City,CAT,10.50.83.11,CA
78,Menifee,MEN,10.50.84.11,CA
79,Escondido,ESC,N/A,CA
80,Simi Valley,SIM,10.50.86.11,CA
81,Thousand Oaks,THO,10.50.87.11,CA
82,Santee,SAN,10.50.88.11,CA
83,Vista,VIS,10.50.89.11,CA
84,Valencia,VAL,10.50.90.11,CA
85,La Verne,LAV,10.50.91.11,CA
86,San Dimas,SND,10.50.92.11,CA
87,Poway,POW,10.50.93.11,CA
88,Valencia 2,VA2,10.50.94.11,CA
89,Northridge,NOR,10.50.95.11,CA
90,Oceanside 2,OC2,10.50.96.11,CA
91,UTC,UTC1,10.51.188.11,CA
92,Elk Grove,ELK,10.50.98.11,CA
93,Rancho Cordova,RAC,10.50.99.11,CA
94,Roseville 1,ROS,10.50.100.11,CA
95,Fair Oaks,FAO,10.50.101.11,CA
96,Natomas,NAT,10.50.107.11,CA
97,Roseville 2,RO2,10.50.108.11,CA
98,Citrus Heights,CIT,10.50.110.11,CA
99,Folsom,FOL,10.50.118.11,CA
101,Stockton,STO,10.50.139.11,CA
102,Lincoln,LNC,10.50.148.11,CA
103,Roseville 3,RO3,10.50.147.11,CA
104,Elk Grove 2,EG2,10.50.192.11,CA
105,Natomas 2,NA2,10.50.150.11,CA
106,Rocklin,ROC,10.50.151.11,CA
107,El Dorado Hills,EDH,10.50.179.11,CA
108,San Diego 10,D0108,10.54.221.11,CA
109,Castro Valley,CVL1,10.51.177.11,CA
110,Gilbert,GIL,10.50.122.11,AZ
111,Chandler,CND,10.50.141.11,AZ
112,Desert Ridge,DSR,10.50.124.11,AZ
113,Las Tiendas,LAT,10.50.130.11,AZ
114,West Seattle 1,D0114,10.55.19.11,WA
115,Murrieta 6,D0115,10.55.12.11,CA
116,Avondale,AVO,10.50.164.11,AZ
117,Buckeye 1,SDC,10.50.195.11,AZ
118,Peoria 1,PEO1,10.50.220.11,AZ
119,Arlington 2,D0119,10.54.247.11,TX
120,Surprise,SPR,10.50.176.11,AZ
121,Tolleson,TOL,10.50.170.11,AZ
122,Gilbert 3,GI3,10.50.183.11,AZ
123,Tatum,TAT,10.50.156.11,AZ
124,Avondale 2,AV2,10.50.174.11,AZ
125,Queen Creek,QNC,10.50.196.11,AZ
126,Superstition,SPS,10.50.193.11,AZ
127,Pacific Highlands 1,D0127,10.52.194.11,CA
128,Tucson,TCN,10.50.181.11,AZ
129,Gilbert 2,GI2,,AZ
130,Lake Elsinore 2,EL2,10.50.166.11,CA
131,Costa Mesa 2,CM2,10.50.127.11,CA
132,Mission Viejo,MSV,10.50.135.11,CA
133,Encinitas,ENC,10.50.138.11,CA
134,Thousand Oaks 2,TO2,10.50.129.11,CA
135,Upland 2,UP2,10.50.131.11,CA
136,West Hills,WSH,10.50.142.11,CA
137,Sharpsburg 1,ELC,10.54.249.11,GA
138,Ventura Main,VNT,10.50.140.11,CA
139,Lake Elsinore,ELS,10.50.143.11,CA
140,Foothill Ranch,FHR,10.50.158.11,CA
141,Temecula 3,TM3,10.50.163.11,CA
142,Palmdale,PAL,10.50.165.11,CA
143,Westlake Village 1,WLV1,10.51.143.11,CA
144,Moorpark,MRP,10.50.187.11,CA
145,Apple Valley 2,APV2,10.50.204.11,CA
146,Apple Valley 1,APV,10.50.199.11,CA
147,Palm Desert 2,PM2,10.50.205.11,CA
148,Diamond Bar,DBR1,10.51.32.11,CA
149,Glendora,GLN,10.50.191.11,CA
150,Fontana 2,FN2,10.50.189.11,CA
151,Rancho Cucamonga 5,CUC5,10.51.167.11,CA
152,Perris,PRS,10.50.200.11,CA
153,Turlock,TLK1,10.51.180.11,CA
154,Manteca,MTC,10.50.201.11,CA
155,North Las Vegas 4,D0155,10.55.17.11,NV
156,Murrieta 5,MU5,10.50.167.11,CA
157,Antelope,ANT,10.50.146.11,CA
158,Arcadia,ARC,10.50.177.11,CA
159,Granada Hills,GRH,10.50.182.11,CA
160,Moreno Valley 2,MV2,10.50.198.11,CA
161,Reno 1,RNO1,10.51.145.11,NV
162,Lake Mead,LMD,10.50.160.11,NV
163,San Jacinto,SNJ1,10.50.218.11,CA
164,Rancho Mirage,RMR,10.50.207.11,CA
165,Victorville 2,VC2,10.50.175.11,CA
166,Camarillo 2,CA2,10.50.157.11,CA
167,Folsom 2,D0167,10.55.41.11,CA
168,Pasadena,PAS,10.50.159.11,CA
169,Shadow Mountain,SHM,10.50.197.11,NV
170,Rainbow,RNB,10.50.161.11,NV
171,Montecito,MNT,10.50.162.11,NV
172,Silverado Ranch,SVR,10.50.186.11,NV
173,Alexander,MLK,10.50.155.11,NV
174,Durango,DUR,10.50.154.11,NV
176,Canyon Pointe,CYP,10.50.188.11,NV
177,Henderson 2,HN2,10.50.202.11,NV
178,Reno 2,RNO2,10.51.174.11,NV
179,Blue Diamond,BLU1,10.50.211.11,NV
180,Fresno 1,D0180,10.52.134.11,CA
181,Kensington,D0181,10.52.82.11,CA
182,Chula Vista,CHV,10.50.185.11,CA
183,Mira Loma,MRL,10.50.203.11,CA
184,Prescott Valley,D0184,10.52.68.11,AZ
185,Oro Valley 1,ORO1,10.50.217.11,AZ
186,Peoria 2,PEO2,10.50.208.11,AZ
187,Henderson 1,HEN1,10.50.214.11,NV
188,Mountains Edge,MTE1,10.50.219.11,NV
189,Sparks 1,D0189,10.52.30.11,NV
190,Flagstaff,D0190,10.52.110.11,AZ
191,Fullerton,FLT1,10.51.166.11,CA
192,La Habra,LHB1,10.51.52.11,CA
193,Rancho Bernardo,RBR,10.50.190.11,CA
194,Reno 3,D0194,10.51.236.11,NV
195,Flamingo,FMG1,10.51.48.11,NV
196,Sahuarita,SRT1,10.51.89.11,AZ
197,Chino,CNO1,10.50.225.11,CA
198,Henderson 4,HEN4,10.51.182.11,NV
199,Vacaville,VCV1,10.51.96.11,CA
200,Mesa 7,D0200,10.50.56.11,AZ
201,Highland,HLD1,10.50.236.11,CA
202,Las Vegas 1,VGS1,10.51.74.11,NV
203,Phoenix 4 EKD,PHX4K,10.51.90.11,AZ
204,Phoenix 7,PHX7,10.51.210.11,AZ
205,Ontario,ONT1,10.50.210.11,CA
206,Queen Creek 2,QNC2,10.50.222.11,AZ
207,Beaumont,BMT1,10.50.229.11,CA
208,Henderson 9 HC,D0208,10.64.181.11,NV
209,Brentwood 1,BRW1,10.51.109.11,CA
210,Elk Grove 3,D0210,10.55.26.11,CA
211,Menifee 2,MEN2,10.50.232.11,CA
212,Oro Valley 2,ORO2,10.50.239.11,AZ
213,Prescott,PSC1,10.51.62.11,AZ
214,Castle Rock 2,D0214,10.54.227.11,CO
215,Surprise 2,SPR2,10.51.39.11,AZ
216,Goodyear,GYR1,10.50.233.11,AZ
217,Cottonwood,CWD1,10.51.208.11,AZ
218,Redondo Beach 1,RDB1,10.51.107.11,CA
219,Richmond 1,D0219,10.55.40.11,TX
220,Natomas 3,NAT3,10.50.216.11,CA
221,City of Industry,IND1,10.50.221.11,CA
222,Scottsdale,SCT1,10.51.44.11,AZ
223,Rancho Cucamonga 3,RC3,10.50.206.11,CA
224,Casa Grande,CGR1,10.50.246.11,AZ
225,Hesperia 3,HES3,10.50.231.11,CA
226,Tramonto,TRM1,10.50.215.11,AZ
227,Alamo,ALM1,10.51.198.11,CA
228,West Sacramento,WSC1,10.50.228.11,CA
229,Palmdale 2,PAL2,10.50.230.11,CA
230,Hacienda Heights,HCH1,10.50.213.11,CA
231,Pleasant Hill,PLH1,10.51.66.11,CA
232,Santee 2,SAN2,10.50.212.11,CA
233,Tucson 3,TCN3,10.51.40.11,AZ
234,Maricopa 1,MRC1,10.51.144.11,AZ
235,Phoenix 4,PHX4,10.50.249.11,AZ
236,Phoenix 6,PHX6,10.51.45.11,AZ
237,North Las Vegas 1,NLV1,10.51.131.11,NV
238,Henderson 3,HEN3,10.51.106.11,NV
239,Clovis,D0239,10.52.28.11,CA
240,Clairemont,CLM1,10.51.161.11,CA
241,Monrovia,MNR1,10.51.77.11,CA
242,Peoria 3,PEO3,10.50.244.11,AZ
243,Carlsbad,CRL1,10.50.241.11,CA
244,Rocklin 2,D0244,10.52.152.11,CA
245,Auburn,ABR1,10.50.248.11,CA
246,Tucson 2,TCN2,10.50.247.11,AZ
247,Woodland,WLD1,10.51.17.11,CA
248,Mesa,MES1,10.51.14.11,AZ
249,Phoenix 5,PHX5,10.51.23.11,AZ
250,Tierrasanta 2,TIS2,10.51.16.11,CA
251,Escondido 2,ESC2,10.50.85.11,CA
252,Tracy,TCY1,10.51.25.11,CA
253,Sacramento 1,D0253,10.52.160.11,CA
254,Lakewood CA,LWD1,10.51.42.11,CA
255,RSD,RSD1,10.51.43.11,CA
256,Marana,MRN1,10.51.33.11,AZ
257,Tempe,TPE1,10.51.47.11,AZ
258,Laveen,LVN1,10.51.50.11,AZ
259,Brea,BRE1,10.51.78.11,CA
260,Tucson 4 EKD,TCN4,10.51.88.11,AZ
261,Buckeye 2 EKD,BUC2,10.51.86.11,AZ
262,Mesa 2,MES2,10.51.97.11,AZ
263,Bakersfield 3,BAK3,10.51.133.11,CA
264,Hesperia 4,HES4,10.51.85.11,CA
265,Yorba Linda 2,YBL2,10.51.75.11,CA
266,Queen Creek 3,QNC3,10.51.117.11,AZ
267,Gilbert 4,GIL4,10.51.165.11,AZ
268,Scottsdale 2,SCT2,10.51.108.11,AZ
269,Davis 1,DVS1,10.51.222.11,CA
270,Mission Valley 1,MVY1,10.51.122.11,CA
271,Bakersfield 4,BAK4,10.51.162.11,CA
272,Seal Beach (Rossmoor),SLB1,10.51.194.11,CA
273,San Marcos 2,SAM2,10.51.121.11,CA
274,Chula Vista 2,CHV2,10.51.129.11,CA
275,Livermore 1,LVM1,10.51.138.11,CA
276,Harbor City,D0276,10.54.212.11,CA
277,Tucson 5,TCN5,10.51.142.11,AZ
278,Chandler 2,CND2,10.51.168.11,AZ
279,Tucson 6,TCN6,10.51.157.11,AZ
280,Pleasanton 1,PLS1,10.51.135.11,CA
281,Hermosa Beach 1,HMS1,10.51.175.11,CA
282,Torrance 1,TRC1,10.51.139.11,CA
283,Huntington Beach 3,D0283,10.52.42.11,CA
284,Petaluma 1,PTL1,10.51.204.11,CA
285,Dublin 1,D0285,10.52.26.11,CA
286,Fairfield,FFD1,10.51.214.11,CA
287,Fresno 2,D0287,10.52.50.11,CA
288,Long Beach 1,D0288,10.51.234.11,CA
289,Sparks 2,D0289,10.52.200.11,NV
290,Visalia 1,D0290,10.52.120.11,CA
291,Temecula 4,D0291,10.54.228.11,CA
292,Glendale 1,D0292,10.52.38.11,AZ
293,Phoenix 8,D0293,10.52.56.11,AZ
294,Cave Creek,D0294,10.52.150.11,AZ
295,West Covina 1,D0295,10.53.20.11,CA
296,Novato,D0296,10.52.48.11,CA
297,Alameda,D0297,10.52.166.11,CA
298,Downey,D0298,10.53.30.11,CA
299,Pinole,D0299,10.53.44.11,CA
300,Riverside 7,D0300,10.55.54.11,CA
301,Wilsonville 1,WVL1,10.51.105.11,OR
302,Tigard,TGR1,10.51.111.11,OR
303,Oregon City,ORC1,10.51.120.11,OR
304,Clackamas 1,CKM1,10.51.224.11,OR
305,Tualatin 1,TLT1,10.51.154.11,OR
306,Gresham,GSH1,10.51.151.11,OR
307,Hillsboro,HBR1,10.51.232.11,OR
308,McKinney 2,D0308,10.55.52.11,TX
309,Sherwood,D0309,10.52.132.11,OR
310,Nashville 7,D0310,10.50.40.11,TN
311,Portland 1,PLD1,10.51.230.11,OR
312,Portland 2,D0312,10.52.196.11,OR
313,Tigard 2,D0313,10.52.248.11,OR
314,Las Vegas 14,D0314,10.54.151.11,NV
315,Beaverton,D0315,10.54.80.11,OR
316,Battle Ground,D0316,10.53.244.11,WA
317,Hillsboro 2,D0317,10.54.22.11,OR
318,Gladstone,D0318,10.54.182.11,OR
319,Apollo Beach 1,D0319,10.54.225.11,FL
320,Portland 3,D0320,10.53.117.11,OR
321,Vancouver 3,D0321,10.53.81.11,WA
322,Bellevue 1,D0322,10.53.197.11,WA
323,Puyallup 2,D0323,10.54.33.11,WA
324,Henderson 9,D0324,10.54.181.11,NV
325,San Diego 5,D0325,10.53.145.11,CA
326,Mukilteo,D0326,10.53.187.11,WA
327,Auburn WA,D0327,10.53.137.11,WA
328,Corona 4,D0328,10.53.107.11,CA
329,Vista 3,D0329,10.53.179.11,CA
330,Puyallup 3,D0330,10.53.207.11,WA
331,Gilbert 6,D0331,10.54.119.11,AZ
332,Las Vegas 12,D0332,10.53.57.11,NV
333,Sacramento 5,D0333,10.53.103.0,CA
334,Henderson 7,D0334,10.53.163.11,NV
335,Queen Creek 4,D0335,10.54.35.11,AZ
336,Ontario 2,D0336,10.54.169.11,CA
337,Sacramento 6,D0337,10.53.189.11,CA
338,Anaheim 1,D0338,10.53.185.11,CA
339,Oxnard 4,D0339,10.53.177.11,CA
340,Scottsdale 6,D0340,10.53.123.11,AZ
341,Sparks 3,D0341,10.54.145.11,NV
342,Norco HC,D0342,10.60.145.11,CA
343,Brentwood CA,D0343,10.53.211.11,CA
345,Henderson 3 HC,HEN3,10.61.106.11,NV
346,Renton,RTN1,10.51.176.11,WA
347,Puyallup,PYP1,10.51.212.11,WA
348,Lynnwood,D0348,10.51.228.11,WA
349,Issaquah,D0349,10.51.238.11,WA
350,Tukwila,D0350,10.52.66.11,WA
351,Vancouver,D0351,10.52.122.11,WA
352,Gig Harbor,D0352,10.52.36.11,WA
353,Snohomish,D0353,10.52.94.11,WA
354,Marysville,D0354,10.53.62.11,WA
355,Kent,D0355,10.52.146.11,WA
356,Maple Valley,D0356,10.52.138.11,WA
357,Vancouver 2,D0357,10.52.232.11,WA
358,Lacey,D0358,10.52.198.11,WA
359,Seattle 1,D0359,10.52.216.11,WA
360,Sammamish,D0360,10.53.206.11,WA
361,Silverdale,D0361,10.53.36.11,WA
362,Las Vegas 13,D0362,10.53.165.11,NV
363,Mesa 5,D0363,10.53.109.11,AZ
364,University Place,D0364,10.53.172.11,WA
365,Bonney Lake,D0365,10.53.224.11,WA
366,LakewoodWA,D0366,10.53.156.11,WA
367,Henderson 8,D0367,10.54.93.11,NV
368,Marysville 2,D0368,10.54.98.11,WA
369,Everett,D0369,10.53.246.11,WA
370,Federal Way,D0370,10.53.23.11,WA
371,Seattle 2,D0371,10.53.220.11,WA
372,Lake Stevens,D0372,10.54.102.11,WA
373,Clovis 2,D0373,10.54.69.11,CA
374,Everett 2,D0374,10.54.138.11,WA
375,Covington,D0375,10.54.172.11,WA
376,Stanton,D0376,10.53.153.11,CA
377,Seattle 3,D0377,10.54.196.11,WA
378,Pasadena 2,D0378,10.53.219.11,CA
379,Redmond,D0379,10.54.236.11,WA
380,Yuba City,D0380,10.54.233.11,CA
381,Tacoma,D0381,10.53.105.11,WA
382,San Diego 8,D0382,10.54.219.11,CA
383,Tucson 10,D0383,10.54.210.11,AZ
384,Las Vegas 11,D0384,10.54.230.11,NV
385,Mission Hills LA CA,D0385,10.53.77.11,CA
386,Palm Desert 3,D0386,10.54.105.11,CA
387,Irvine 3,D0387,10.53.43.11,CA
388,Maricopa 2 KD,D0388,10.54.63.11,AZ
389,Phoenix 14 SNC,D0389,10.53.29.11,AZ
390,Oceanside 4,D0390,10.54.250.11,CA
391,Las Vegas 10,D0391,10.54.252.11,NV
392,Studio City,D0392,10.54.186.11,CA
393,San Diego 4,D0393,10.54.184.11,CA
394,Hemet 2,D0394,10.54.192.11,CA
395,Huntington Beach 4,D0395,10.54.162.11,CA
396,Lake Oswego,D0396,10.54.27.0,OR
397,Flagstaff 2,D0397,10.54.141.11,AZ
398,Phoenix 13,D0398,10.54.240.11,AZ
401,Pomona 1,D0401,10.52.192.11,CA
402,Visalia 2,D0402,10.52.182.11,CA
403,Santee 3,D0403,10.52.74.11,CA
404,La Costa,D0404,10.52.80.11,CA
405,Claremont,D0405,10.52.102.11,CA
406,East Village,D0406,10.53.46.11,CA
407,Rohnert Park,D0407,10.52.124.11,CA
408,Whittier 1,D0408,10.55.50.11,CA
409,Fresno 3,D0409,10.52.118.11,CA
410,Las Vegas 17,D0410,,NV
411,Placerville,D0411,10.52.126.11,CA
412,Modesto,D0412,10.53.22.11,CA
413,Orange,D0413,10.52.188.11,CA
414,Winter Garden 1,D0414,10.50.41.11,FL
415,Long Beach 2,D0415,10.52.218.11,CA
416,Lodi,D0416,10.54.204.11,CA
417,Chino Hills 4,D0417,10.54.64.11,CA
418,Torrance 2,D0418,10.53.84.11,CA
