#,Name,Mnemonic,IP,State
821,St. Peters,D0821,10.53.221.11,MO
822,Liberty 1,D0822,,MO
823,Lenexa 2,D0823,10.54.179.11,KS
824,Lawrence 2,D0824,10.54.97.11,KS
825,Blue Springs 3 MKD,D0825,10.53.41.11,MO
826,Derby,D0826,10.53.85.11,KS
827,Kansas City 6,D0827,10.53.65.11,KS
828,Olathe 3,D0828,10.53.217.11,KS
829,Olathe 2,D0829,10.54.200.11,KS
830,Wichita 2,D0830,10.54.140.11,KS
831,Wichita,D0831,10.54.132.11,KS
832,Overland Park 3,D0832,10.54.180.11,KS
833,Prairie Village,D0833,10.54.62.11,KS
834,Blue Springs 2,D0834,10.54.14.11,MO
835,Lawrence,D0835,10.53.15.11,KS
836,Overland Park 2,D0836,10.53.194.11,KS
837,Kansas City 5,D0837,10.53.16.11,MO
838,Olathe,D0838,10.53.28.11,KS
839,Lees Summit,LST1,10.51.226.11,MO
840,Overland Park,OLP1,10.51.190.11,KS
841,Kansas City 4,KSC4,10.51.164.11,KS
842,Merriam 1,D0842,10.52.40.11,KS
843,Shawnee,D0843,10.52.184.11,KS
844,Smyrna,D0844,10.52.252.11,TN
845,Mt Juliet,D0845,10.53.166.11,TN
846,Clarksville 1,D0846,10.53.184.11,TN
847,Lutz 2,D0847,10.54.161.11,FL
848,Murfreesboro 1,D0848,10.54.60.11,TN
849,Gallatin,D0849,10.53.128.11,TN
850,Nashville 2,D0850,10.52.202.11,TN
851,Clarksville 2,D0851,10.54.66.11,TN
852,Murfreesboro 2,D0852,10.53.170.11,TN
853,Nashville 1,D0853,10.54.52.11,TN
854,Hendersonville,D0854,10.54.44.11,TN
855,Spring Hill,D0855,10.54.202.11,TN
856,Estero,D0856,10.54.127.11,FL
857,Hermitage 1,D0857,10.54.59.11,TN
858,Knoxville 1,D0858,10.54.136.11,TN
859,Knoxville 2,D0859,10.53.59.11,TN
860,Franklin,D0860,10.53.31.11,TN
861,Alcoa,D0861,10.54.222.11,TN
862,Oak Ridge,D0862,10.54.166.11,TN
863,Nashville 3,D0863,10.53.173.11,TN
864,Chattanooga 1,D0864,10.53.169.11,TN
865,Doral 1,D0865,10.53.229.11,FL
866,Port Charlotte,D0866,10.53.237.11,FL
867,Atlanta 4,D0867,10.54.57.11,GA
868,Columbia 2,D0868,10.54.79.11,SC
869,Chelmsford,D0869,10.54.87.11,MA
870,Blaine,D0870,10.52.114.11,MN
871,Richfield,D0871,10.52.44.11,MN
872,Chaska,D0872,10.52.58.11,MN
873,Woodbury,D0873,10.52.164.11,MN
874,Eagan,D0874,10.52.246.11,MN
875,Chanhassen,D0875,10.52.254.11,MN
876,St. Louis Park,D0876,10.52.176.11,MN
877,Maple Grove,D0877,10.52.240.11,MN
878,Champlin,D0878,10.53.54.11,MN
879,Bloomington,D0879,10.53.64.11,MN
880,Columbia Heights,D0880,10.53.58.11,MN
881,White Bear Lake,D0881,10.53.86.11,MN
882,Eden Prairie,D0882,10.53.204.11,MN
883,Savage,D0883,10.53.180.11,MN
884,St Paul,D0884,10.54.28.11,MN
885,Lake Nona 2,D0885,10.54.167.11,FL
886,Woodbury 2,D0886,10.53.71.11,MN
887,Canton,D0887,10.55.29.11,MA
888,Powdersville 1,D0888,10.53.183.11,SC
889,Atlanta 3,D0889,10.53.161.11,GA
890,Winter Park 1,D0890,10.53.175.11,FL
891,Lithia,D0891,10.54.47.11,FL
892,Davenport,D0892,10.53.253.11,FL
893,Ocoee,D0893,10.53.155.11,FL
894,Clermont 2,D0894,10.54.239.11,FL
895,Homestead,D0895,10.54.55.11,FL
897,Burlington 1,D0897,10.53.131.11,MA
898,Ft. Lauderdale,D0898,10.53.97.11,FL
899,Brandon,D0899,10.53.167.11,FL
900,Blue Ash 1,D0900,10.55.16.11,OH
901,Canton,CTN1,10.51.183.11,GA
902,Marietta,MRT1,10.51.184.11,GA
903,Sandy Springs 1,D0903,10.52.24.11,GA
904,Acworth,D0904,10.52.70.11,GA
905,Austell,D0905,10.52.158.11,GA
906,Alpharetta,D0906,10.52.46.11,GA
907,Hiram,D0907,10.52.60.11,GA
908,Riverview 2,D0908,10.55.74.11,FL
909,Roswell,D0909,10.52.228.11,GA
910,Las Vegas 16,D0910,10.55.48.11,NV
911,Peachtree City,D0911,10.52.88.11,GA
912,Snellville,D0912,10.52.86.11,GA
913,Fayetteville,D0913,10.52.130.11,GA
914,Seattle 4,D0914,10.54.223.11,WA
915,Conyers,D0915,10.52.112.11,GA
916,Lawrenceville,D0916,10.53.94.11,GA
917,Marietta 2,D0917,10.53.226.11,GA
918,Loganville,D0918,10.53.130.11,GA
920,Macon,D0920,10.53.88.11,GA
921,Sandy Springs 2,D0921,10.53.90.11,GA
922,Chamblee,D0922,10.53.196.11,GA
923,Decatur,D0923,10.53.208.11,GA
924,Atlanta 1,D0924,10.53.110.11,GA
925,Cartersville,D0925,10.53.200.11,GA
926,Smyrna GA,D0926,10.53.210.11,GA
927,Bristow,D0927,10.53.129.11,VA
928,Cumming,D0928,10.53.168.11,GA
929,Woodstock,D0929,10.54.10.11,GA
930,Buford,D0930,10.54.106.11,GA
931,Waltham,D0931,10.53.73.11,MA
932,Manassas 1,D0932,,VA
933,Atlanta 2,D0933,10.53.111.11,GA
934,Marietta 3,D0934,10.54.67.11,GA
935,Nashville 8,D0935,10.55.43.11,TN
936,Falls Church,D0936,10.53.87.11,VA
937,Hanover,D0937,10.54.208.11,MA
938,Milford,D0938,10.54.25.11,MA
939,Shrewsbury,D0939,10.54.170.11,MA
940,Attleboro,D0940,10.54.126.11,MA
941,Orlando 1,D0941,10.53.112.11,FL
942,Lady Lake,D0942,10.53.122.11,FL
943,Lake Nona,D0943,10.54.38.11,FL
944,Wildwood,D0944,10.53.68.11,FL
945,Clermont,D0945,10.53.182.11,FL
946,Eustis,D0946,10.53.188.11,FL
947,Lake Mary,D0947,10.53.240.11,FL
948,Melbourne 2,D0948,10.54.94.11,FL
949,Lakeland,D0949,10.54.72.11,FL
950,Melbourne 1,D0950,10.54.30.11,FL
951,Durango HC,CYP-OSH,10.60.154.11,NV
952,Oviedo,D0952,10.54.134.11,FL
953,Riverview,D0953,10.53.39.11,FL
954,Sterling,D0954,10.53.234.11,VA
955,Gainesville,D0955,10.54.24.11,VA
956,Springfield,D0956,10.54.88.11,VA
957,Fairfax,D0957,10.54.174.11,VA
958,Chantilly,D0958,10.54.156.11,VA
959,Chantilly 2,D0959,10.53.61.11,VA
960,Alexandria,D0960,10.54.224.11,VA
961,Port Orange,D0961,10.54.246.11,FL
962,Orlando 2,D0962,10.53.51.11,FL
963,Lakeland 2,D0963,10.54.160.11,FL
964,Lutz,D0964,10.53.63.11,FL
965,Winter Springs,D0965,10.54.48.11,FL
966,Sanford,D0966,10.53.149.11,FL
967,Tampa 1,D0967,10.54.190.11,FL
968,Falls Church 2,D0968,10.53.225.11,VA
969,Winterhaven,D0969,10.54.51.11,FL
970,Miami 2,D0970,10.54.248.11,FL
971,Columbia 1,D0971,10.54.54.11,SC
972,Lexington 1,D0972,10.54.92.11,SC
973,Lexington 2,D0973,10.53.27.11,SC
974,Rock Hill 1,D0974,10.54.65.11,SC
975,Chapin,D0975,10.53.47.11,SC
976,Lexington 3,D0976,10.53.19.11,SC
977,West Columbia,D0977,10.54.232.11,SC
978,Indian Land,D0978,10.53.203.11,SC
979,Miami 3,D0979,10.53.99.11,FL
980,Westborough,D0980,10.53.75.11,MA
981,Boynton Beach,D0981,10.53.133.11,FL
982,Naples 2,D0982,10.53.101.0,FL
983,Naples 3,D0983,10.54.77.11,FL
984,Coral Gables,D0984,10.54.226.11,FL
985,Naples 1,D0985,10.54.188.11,FL
986,Royal Palm Beach,D0986,10.53.139.11,FL
987,Fort Myers,D0987,10.54.168.11,FL
988,Pembroke Pines 2,D0988,10.54.152.11,FL
989,Palm Beach Gardens,D0989,10.53.67.11,FL
990,Weston,D0990,10.53.118.11,FL
991,Miami Shores,D0991,10.53.104.11,FL
992,Coral Springs,D0992,10.54.12.11,FL
993,Davie 1,D0993,10.53.92.11,FL
994,Miami 1,D0994,10.53.56.11,FL
995,Pembroke Pines,D0995,10.53.242.11,FL
996,Oakland Park,D0996,10.53.14.11,FL
997,Palmetto Bay,D0997,10.53.222.11,FL
998,Sunrise,D0998,10.52.226.11,FL
999,Mansfield 1 MA,D0999,10.54.41.11,MA
1001,Denver 8,D1001,10.55.42.11,CO
1002,Oakland Park 2,D1002,10.55.31.11,FL
1003,Fort Myers 2,D1003,10.55.45.11,FL
1005,Coon Rapids 1,D1005,10.55.70.11,MN
1006,Buckeye 3,D1006,10.54.241.11,AZ
1007,Buckeye 4,D1007,10.51.237.11,AZ
1008,Boca Raton 1,D1008,10.55.34.11,FL
1009,Murfreesboro 4,D1009,10.51.202.11,TN
1010,Rancho Cordova 3,D1010,10.55.73.11,CA
1011,Las Vegas 19,D1011,10.50.180.11,NV
1012,Katy 6,D1012,10.52.45.11,TX
1013,Chula Vista 4,D1013,10.55.44.11,CA
1015,Aurora 9,D1015,10.51.193.11,CO
1016,Oak Park Heights 1,D1016,10.55.59.11,MN
1017,Springfield 2,D1017,10.55.57.11,VA
1019,Colorado Springs 8,D1019,10.51.209.11,CO
1020,Leesburg 1,D1020,10.55.62.11,VA
1021,Clarksville 3,D1021,10.55.28.11,TN
1022,Las Vegas 20,D1022,10.55.68.11,NV
1023,Las Vegas HC 20,D1023,10.65.68.11,NV
1024,Watertown 1,D1024,10.50.52.11,MA
1025,Real Smiles,D1025,,CA
1026,Arvada 3,D1026,10.51.195.11,CO
1027,Seattle 6,D1027,10.55.36.11,WA
1028,Moncks Corner 1,D1028,10.55.69.11,SC
1029,Charleston 1,D1029,10.51.225.11,SC
1030,Covington 1,D1030,10.50.73.11,LA
1032,Magnolia 1,D1032,10.50.67.11,TX
1033,Mt. Juliet 2,D1033,10.55.39.11,TN
1034,Mission Valley 2,D1034,10.55.63.11,CA
1035,Framingham 1,D1035,10.50.74.11,MA
1036,San Diego 12,D1036,10.55.61.11,CA
1037,Winchester,D1037,10.50.58.11,CA
1038,Surprise 5,D1038,10.50.45.11,AZ
1039,Rancho Cordova 4,D1039,10.50.50.11,CA
1040,Peoria 5,D1040,,AZ
1042,Gaithersburg 1,D1042,10.50.55.11,MD
1044,Sahara HC,D1044,10.64.151.11,NV
1045,Davenport 2,D1045,10.51.187.11,FL
1046,Laguna Hills 1,D1046,10.55.65.11,CA
1048,Merced 1,D1048,10.50.134.11,CA
1049,New Caney 1,D1049,10.50.76.11,TX
1050,Scottsdale 7,D1050,10.55.77.11,AZ
1051,Canoga Park,D1051,10.55.56.11,CA
1052,Mesa 6,D1052,10.55.37.11,AZ
1053,Montebello 1,D1053,10.55.53.11,CA
1054,Queen Creek 5,D1054,10.50.66.11,AZ
1055,San Antonio 9,D1055,10.50.169.11,TX
1056,San Jacinto 2,D1056,10.55.66.11,CA
1057,Olympia 1,D1057,10.50.51.11,WA
1058,Boise 2,D1058,10.55.64.11,ID
1059,Queen Creek 6,D1059,10.50.63.11,AZ
1060,Plymouth 1,D1060,10.55.71.11,MN
1062,Cincinnati 5,D1062,10.50.178.11,OH
1069,San Marcos 3,D1069,10.50.48.11,CA
1070,Gibsonton 1,D1070,10.51.241.11,FL
1071,Apple Valley 1,D1071,10.55.76.11,MN
1072,Kissimmee 1,D1072,,FL
1073,Miami 4,D1073,10.55.75.11,FL
1074,Cibolo 1,D1074,10.51.191.11,TX
1075,Burleson 2,D1075,10.50.65.11,TX
1076,Pittsburg 1,D1076,10.50.54.11,CA
1077,Las Vegas 17,D1077,10.50.57.11,NV
1078,Fremont 1,D1078,10.51.201.11,CA
1079,Surprise 6,D1079,10.50.70.11,AZ
1080,Cathedral City 1,D1080,10.50.49.11,CA
1081,Cottage Grove 1,D1081,10.50.75.11,MN
1082,Florence 1,D1082,10.50.61.11,KY
1083,Altamonte Springs 1,D1083,10.50.46.11,FL
1084,West Roxbury 1,D1084,10.50.62.11,MA
1085,McKinney 3,D1085,10.51.223.0/24,TX
1087,Denver 9,D1087,10.50.136.11,CO
1088,Boynton Beach 3,D1088,10.51.203.11,FL
1089,Austin 5,D1089,10.52.63.11,TX
1090,Henderson 11,D1090,10.50.59.11,NV
1091,Tucson 11,D1091,10.50.53.11,AZ
1092,Henderson 12,D1092,10.50.43.11,NV
1093,Davis 2,D1093,10.50.69.11,CA
1094,Woodland 2,D1094,10.51.219.11,CA
1095,Hixson 1,D1095,,TN
1096,Shadow Mountain 1 HC,M1096,10.60.197.11,NV
1097,Harvey 1,D1097,10.50.60.11,LA
1098,Moreno Valley 3,D1098,10.50.64.11,CA
1099,Garden Grove 1,D1099,10.51.233.11,CA
1102,Swampscott 1,D1102,10.51.235.11,MA
1103,Andover,D1103,,KS
1104,Torrance 3,D1104,10.51.83.11,CA
1105,Raymore,D1105,,MO
1106,Miami 5,D1106,10.51.231.11,FL
1107,Murrieta 7,D1107,10.50.72.11,CA
1109,Chino 2,D1109,10.50.149.11,CA
1110,San Dimas 2,D1110,10.51.189.11,CA
1111,Longmont 2,D1111,,CO
1112,Buckeye HC 1,M1112,10.50.79.11,AZ
1113,Phoenix HC 1,M1113,10.50.80.11,AZ
1114,Peoria HC 1,M1114,10.50.81.11,AZ
1115,Laveen HC 1,M1115,10.50.83.11,AZ
1116,Lacey 2,D1116,10.51.19.11,WA
1118,O'Fallon 1,D1118,,IL
1120,Upland 3,D1120,10.50.173.11,CA
1121,Santa Ana 1,D1121,10.51.81.11,CA
1123,Lemon Grove 1,D1123,,CA
1124,Irvine 5,D1124,10.50.153.11,CA
1125,Rancho Cucamonga 6,D1125,10.51.217.11,CA
1127,Peoria 6,D1127,10.52.59.11,AZ
1128,Long Beach 6,D1128,10.51.242.11,CA
1129,Alhambra 1,D1129,10.50.172.11,CA
1133,Chandler 3,D1133,10.51.245.11,AZ
1134,San Juan Capistrano 1,D1134,10.51.246.11,CA
1135,Citrus Heights 2,D1135,10.51.199.11,CA
1136,Rosemead 1,D1136,10.51.197.11,CA
1137,Hurst 1,D1137,10.51.205.11,TX
1142,Katy 7,D1142,10.51.249.11,TX
1144,Charlotte 3,D1144,10.51.65.11,NC
1145,Worcester 1,D1145,10.51.239.11,MA
1146,San Ramon 1,D1146,10.50.209.11,CA
1147,Miami 8,D1147,10.51.227.11,FL
1149,Powell 1,D1149,,TN
1150,Westminster 4,D1150,,CO
1153,Cincinnati 6,D1153,10.51.248.11,OH
1154,Maitland 1,D1154,10.52.29.11,FL
1155,Buckeye 5,D1155,,AZ
1156,Orlando 3,D1156,10.52.35.11,FL
1157,Long Beach 7,D1157,,CA
1158,Folsom 3,D1158,10.51.215.11,CA
1159,Fort Myers 3,D1159,10.51.229.11,FL
1160,Magnolia 2,D1160,10.51.247.11,TX
1161,Albuquerque 10,D1161,,NM
1162,Gilbert 7,D1162,10.52.57.11,AZ
1163,Houston 11,D1163,10.51.213.11,TX
1164,Union City 1,D1164,10.52.27.11,CA
1167,Chandler 4,D1167,10.52.33.11,AZ
1168,Surprise 7,D1168,10.52.39.11,AZ
1170,Elk Grove 4,D1170,10.51.253.11,CA
1172,Plano 3,D1172,10.52.65.10,TX
1173,Las Vegas 23,D1173,,NV
1175,Santa Clarita 2,D1175,,CA
1177,Bellflower 1,D1177,10.52.25.11,CA
1179,Orange 2,D1179,10.51.251.11,CA
1180,Long Beach 8,D1180,10.52.23.11,CA
1181,Nampa 1,D1181,,ID
1182,San Jose 1,D1182,,CA
1183,San Diego 13,D1183,10.52.11.11,CA
1184,Jurupa Valley 1,D1184,,CA
1185,Santa Clara 1,D1185,10.52.21.11,CA
1186,Vallejo 1,D1186,10.51.254.11,CA
1187,Surprise HC 1,D1187,,AZ
1188,Henderson 13,D1188,10.52.19.11,NV
1189,Henderson 13 HC,D1189,10.62.19.11,NV
1190,Renton 2,D1190,,WA
1193,North Las Vegas 5,D1193,10.51.250.11,NV
1194,Albuquerque 11,D1194,,NM
1197,Mesa 7 HC,D1197,10.50.56.11,AZ
1198,Fontana 4,D1198,,CA
1199,Culver City 1,D1199,10.52.16.11,CA
1201,North Las Vegas 5 HC,D1201,,NV
1202,Reno 5,D1202,10.52.15.11,NV
1203,Santa Fe Springs 1,D1203,10.52.49.11,CA
1204,Reno 6,D1204,,NV
1205,Fresno 4,D1205,,CA
1213,Wildwood 2,D1213,10.52.55.11,FL
1214,Bothell 1,D1214,,WA
1215,Fountain 3,D1215,,CO
1217,Columbus 1,D1217,,OH
1219,Escondido 3,D1219,10.52.53.11,CA
1221,Melissa 1,D1221,,TX
1222,Norco 2,D1222,10.52.47.11,CA
1224,Boise 3,D1224,,ID
1225,West Sacramento 2,D1225,,CA
1231,Las Vegas 24,D1231,,NV
1236,Azusa 1,D1236,,CA
1237,Mooresville 1,D1237,,NC
1238,Frederick 1,D1238,,CO
1246,Gahanna 1,D1246,,OH
1247,Grand Terrace 1,D1247,,CA
1248,Golden 1,D1248,,CO
1250,Elmwood 1,D1250,,LA
1252,Fair Oaks 2,D1252,,CA
1257,Highland 2,D1257,,CA
1259,Falls Church 3,D1259,,VA
1264,Tucson 13,D1264,,AZ
1266,Palm Springs 2,D1266,,CA
1267,Rocklin 3,D1267,,CA
1273,Vinings 1,D1273,,GA
1276,Jacksonville 1,D1276,,FL
1277,Carlsbad 3,D1277,,CA
1284,Kissimmee 2,D1284,,FL
1292,Jacksonville 2,D1292,,FL
2001,Arizona Regional Office,AZSO,10.30.16.11,AZ
2002,Corona Regional Office,CRSO,10.51.73.11,CA
2003,San Diego Regional Office,SDTC,10.51.61.11,CA
2004,RMR Regional Office,DVSO,10.51.84.11,CO
2005,Dallas Support Center (DSC),DFWSO,10.31.74.0/23,TX
2006,Ontario Regional Office,OSO,10.51.148.11,CA
2008,Northern CA Regional Office,D2008,,CA
2009,Orange County Regional Office,D2009,,CA
2010,Innovation Center Henderson (ICH),D2010,,NV
2011,Gulf Coast Regional Office,HSNSO,10.31.20.11,TX
2012,Henderson Support Center (HSC),D2012,,NV
2013,Louisiana Regional Office,D2013,,LA
2014,Minnesota Regional Office,D2014,,MN
2015,New Mexico Regional Office,D2015,,NM
2016,Central Florida Training Center,D2016,,FL
2017,Washington Regional Office,D2017,,WA
2018,Colorado Regional Office,D2018,,CO
2019,HSC2-Covenant,D2019,,NV
2020,Miami Support Center,D2020,,FL
2021,Nashville Regional Office,D2021,10.31.144.11,TN
7110,Gilbert 1,D7110,,AZ
7127,Pacific Highlands 1,D7127,,CA
7217,Cottonwood,D7217,,AZ
7309,Sherwood,D7309,,OR
7365,Bonney Lake MKD,D7365,,WA
7542,Brighton 2 KD,D7542,,CO
7682,San Diego 7 KD,D7682,,CA
7703,Frisco 2,D7703,,TX
7802,Blue Springs 1,D7802,,MO
7809,O'Fallon MKD,D7809,,MO
7841,Kansas City 4,D7841,,KS
7844,Smyrna MKD,D7844,,TN
7872,Chaska,D7872,,MN
7905,Austell,D7905,,GA
7915,Conyers,D7915,,GA
7991,Miami Shores MKD,D7991,,FL
7992,Coral Springs MKD,D7992,,FL
8062,Rancho Cucamonga,D8062,,CA
8527,Colorado Springs 3,D8527,,CO
8529,Fountain,D8529,,CO
21173,Las Vegas 23 KD,D21173,,NV